,Date_CD,Year,Season,WeekEnd,LastYear,LastSeason,LastWeekEnd,Date,LastDate,DaysRecency,ClientType,Staff,BLastStaff,RTLastStaff,StaffCancType,BLastServiceCode,BLastWomenMenService,BLastColorCutService,LastServiceCategory,LastServicePrice,LastServiceCost,ServiceCode,ServiceCancType,WomenMenService,ColorCutService,ServiceCategory,ServicePrice,ServiceCost,RTLastWomenMen,RTLastColorCutReciept,LastTotalAmount,LastTotalGST,LastTotalPST,WasProdPerch,IsCanceled,CancelDay,CancelWeekday,CanceledBy,Days,LastIsCanceled,LastCanceledBy,LastCancelWeekday,TotalClientCancellationsTillNow,TotalClientBookingsTillNow,CancellationPcnt
48,20180724,2018,Summer,0,2018.0,Summer,0.0,2018-07-24,2018-07-24,0.0,MediumCancClient,JOANNE,JOANNE,BECKY,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Other,0.0,0.0,0.0,0.0,1,17.0,3.0,JJ,7.0,1.0,JJ,3.0,10.0,25,0.4
49,20180724,2018,Summer,0,2018.0,Summer,0.0,2018-07-24,2018-07-24,0.0,MediumCancClient,JOANNE,BECKY,BECKY,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Other,0.0,0.0,0.0,0.0,1,17.0,3.0,JJ,7.0,1.0,JJ,3.0,7.0,22,0.3181818181818182
50,20180724,2018,Summer,0,2018.0,Summer,0.0,2018-07-24,2018-07-24,0.0,MediumCancClient,JOANNE,BECKY,BECKY,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Other,0.0,0.0,0.0,0.0,1,17.0,3.0,JJ,7.0,0.0,,,5.0,19,0.2631578947368421
51,20180725,2018,Summer,0,2018.0,Summer,0.0,2018-07-25,2018-07-24,1.0,MediumCancClient,JOANNE,BECKY,,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,17.0,3.0,JJ,8.0,0.0,,,5.0,20,0.25
52,20180725,2018,Summer,0,2018.0,Summer,0.0,2018-07-25,2018-07-24,1.0,MediumCancClient,JOANNE,BECKY,,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,17.0,3.0,JJ,8.0,1.0,JJ,3.0,8.0,23,0.34782608695652173
53,20180725,2018,Summer,0,2018.0,Summer,0.0,2018-07-25,2018-07-24,1.0,MediumCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,17.0,3.0,JJ,8.0,1.0,JJ,3.0,11.0,26,0.4230769230769231
54,20180731,2018,Summer,0,2018.0,Summer,0.0,2018-07-31,2018-07-31,0.0,MediumCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,22.0,42,0.5238095238095238
55,20180731,2018,Summer,0,2018.0,Summer,0.0,2018-07-31,2018-07-31,0.0,MediumCancClient,JOANNE,BECKY,,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,1.0,JJ,3.0,21.0,36,0.5833333333333334
56,20180726,2018,Summer,0,2018.0,Summer,0.0,2018-07-26,2018-07-25,1.0,MediumCancClient,JOANNE,KELLY,,HighCancStaff,SBD,Other,Other,STYLE,0.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,17.0,3.0,JJ,9.0,1.0,JJ,3.0,15.0,30,0.5
57,20180731,2018,Summer,0,2018.0,Summer,0.0,2018-07-31,2018-07-31,0.0,MediumCancClient,JOANNE,BECKY,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,22.0,39,0.5641025641025641
